date,Close,returns
1/3/1950,16.66,0
1/4/1950,16.85,0.011404562
1/5/1950,16.93,0.004747774
1/6/1950,16.98,0.002953337
1/9/1950,17.08,0.005889282
1/10/1950,17.030001,-0.002927342
1/11/1950,17.09,0.003523135
1/12/1950,16.76,-0.019309538
1/13/1950,16.67,-0.005369928
1/16/1950,16.719999,0.00299934
1/17/1950,16.860001,0.008373326
1/18/1950,16.85,-0.000593179
1/19/1950,16.870001,0.001187003
1/20/1950,16.9,0.001778245
1/23/1950,16.92,0.001183432
1/24/1950,16.860001,-0.00354604
1/25/1950,16.74,-0.007117497
1/26/1950,16.73,-0.000597372
1/27/1950,16.82,0.005379558
1/30/1950,17.02,0.011890606
1/31/1950,17.049999,0.001762573
2/1/1950,17.049999,0
2/2/1950,17.23,0.010557244
2/3/1950,17.290001,0.003482356
2/6/1950,17.32,0.001735049
2/7/1950,17.23,-0.005196305
2/8/1950,17.209999,-0.001160824
2/9/1950,17.280001,0.004067519
2/10/1950,17.24,-0.002314873
2/14/1950,17.059999,-0.010440893
2/15/1950,17.059999,0
2/16/1950,16.99,-0.004103107
2/17/1950,17.15,0.009417304
2/20/1950,17.200001,0.00291551
2/21/1950,17.17,-0.001744244
2/23/1950,17.209999,0.002329586
2/24/1950,17.280001,0.004067519
2/27/1950,17.280001,0
2/28/1950,17.219999,-0.003472338
3/1/1950,17.24,0.001161498
3/2/1950,17.23,-0.000580046
3/3/1950,17.290001,0.003482356
3/6/1950,17.32,0.001735049
3/7/1950,17.200001,-0.006928349
3/8/1950,17.190001,-0.000581395
3/9/1950,17.07,-0.006980861
3/10/1950,17.09,0.001171646
3/13/1950,17.120001,0.001755471
3/14/1950,17.25,0.007593399
3/15/1950,17.450001,0.011594261
3/16/1950,17.49,0.002292206
3/17/1950,17.450001,-0.002286964
3/20/1950,17.440001,-0.000573066
3/21/1950,17.450001,0.000573394
3/22/1950,17.549999,0.005730544
3/23/1950,17.559999,0.000569801
